type_value,total_count,pct_of_typed,cumulative_pct,provinces,currently_mapped_to,proposed_category,proposed_murb_positive
Three Unit Dwelling,331,0.0155,98.8619,NB,UNMAPPED -> dropped,low_rise_residential,False
Agricultural/Rural,331,0.0155,98.8774,ON,UNMAPPED -> dropped,other,False
Fire Station,325,0.0153,98.8927,AB;BC;NB;NS;ON;SK,UNMAPPED -> dropped,institutional,False
Carport,323,0.0152,98.9079,BC;ON,UNMAPPED -> dropped,other,False
Storage,312,0.0146,98.9225,BC;ON,UNMAPPED -> dropped,other,False
Public Elementary School,305,0.0143,98.9368,ON;SK,UNMAPPED -> dropped,institutional,False
Elementary School,303,0.0142,98.951,BC;ON,UNMAPPED -> dropped,institutional,False
Commercial Residential,295,0.0138,98.9648,ON,UNMAPPED -> dropped,commercial,False
Church,280,0.0131,98.9779,AB;BC;NS;ON,institutional,institutional,False
"Culturelle, récréative et de loisirs",280,0.0131,98.991,QC,UNMAPPED -> dropped,,False
Retail and Residence,276,0.013,99.004,ON,UNMAPPED -> dropped,commercial,False
Bâtiment agricole,275,0.0129,99.0169,QC,UNMAPPED -> dropped,,False
Special Uses,275,0.0129,99.0298,ON,UNMAPPED -> dropped,,False
"Transport, communication et services",262,0.0123,99.0421,QC,UNMAPPED -> dropped,commercial,False
Secondary Suite,261,0.0123,99.0544,NS,UNMAPPED -> dropped,,False
Repair Garage,260,0.0122,99.0666,NS;ON,UNMAPPED -> dropped,other,False
École primaire,249,0.0117,99.0783,QC,UNMAPPED -> dropped,institutional,False
Ba,246,0.0115,99.0898,ON,UNMAPPED -> dropped,,False
QUONSET,235,0.011,99.1008,ON,UNMAPPED -> dropped,,False
Public School,223,0.0105,99.1113,BC;NS;ON,UNMAPPED -> dropped,institutional,False
Plex,222,0.0104,99.1217,ON,UNMAPPED -> dropped,low_rise_residential,False
Bâtiment public,213,0.01,99.1317,QC,UNMAPPED -> dropped,institutional,False
Library,213,0.01,99.1417,AB;BC;NB;NS;ON,UNMAPPED -> dropped,institutional,False
Townhouse/Fourplex - R4,209,0.0098,99.1515,AB,UNMAPPED -> dropped,low_rise_residential,False
Hospital,200,0.0094,99.1609,AB;BC;NB;NS;ON;SK,institutional,institutional,False
Cabin,200,0.0094,99.1703,BC;NB;ON,UNMAPPED -> dropped,other,False
Parking Garage,196,0.0092,99.1795,AB;NB;ON,UNMAPPED -> dropped,other,False
Utility Facility,195,0.0092,99.1887,NS,UNMAPPED -> dropped,other,False
Mobile Home Residential - MHR,190,0.0089,99.1976,AB,UNMAPPED -> dropped,residential,False
Organisme communautaire et centre de loisirs,186,0.0087,99.2063,QC,UNMAPPED -> dropped,,False
Daycare,185,0.0087,99.215,AB;NB;NS;ON,UNMAPPED -> dropped,,False
Mixed Use,184,0.0086,99.2236,BC;NS,mixed_use,mixed_use,False
Social Club,180,0.0084,99.232,NS,UNMAPPED -> dropped,,False
Park,169,0.0079,99.2399,BC;NB;ON,other,other,False
Édifice municipal,166,0.0078,99.2477,QC,UNMAPPED -> dropped,institutional,False
Storage Tank,165,0.0077,99.2554,BC,UNMAPPED -> dropped,other,False
Park Facility,163,0.0077,99.2631,NS;ON,UNMAPPED -> dropped,other,False
General_Employment,163,0.0077,99.2708,ON,UNMAPPED -> dropped,,False
Multiple Use,162,0.0076,99.2784,BC,UNMAPPED -> dropped,,False
Commercial - Service/Retail/Office,162,0.0076,99.286,AB,UNMAPPED -> dropped,commercial,False
IndBuild,162,0.0076,99.2936,ON,UNMAPPED -> dropped,,False
Shopping Centre,159,0.0075,99.3011,AB;BC;NB;NS;ON,UNMAPPED -> dropped,,False
Museum,159,0.0075,99.3086,AB;BC;NB;NS;ON,UNMAPPED -> dropped,,False
Mobile Home Park - MHP,158,0.0074,99.316,AB,UNMAPPED -> dropped,other,False
Tank,157,0.0074,99.3234,BC,UNMAPPED -> dropped,,False
Post Secondary School,155,0.0073,99.3307,NB;NS;ON,UNMAPPED -> dropped,institutional,False
Factor/Plant,154,0.0072,99.3379,NS,UNMAPPED -> dropped,,False
Public Areas,154,0.0072,99.3451,BC,UNMAPPED -> dropped,institutional,False
NHS,152,0.0071,99.3522,ON,UNMAPPED -> dropped,,False
Washroom,152,0.0071,99.3593,BC,UNMAPPED -> dropped,other,False
Gas Station,141,0.0066,99.3659,NB;NS;ON,UNMAPPED -> dropped,,False
Group Home,140,0.0066,99.3725,NB;NS,UNMAPPED -> dropped,,False
Addition,139,0.0065,99.379,BC;ON,UNMAPPED -> dropped,,False
Restaurant / Eating Establishment,139,0.0065,99.3855,NB;ON,UNMAPPED -> dropped,commercial,False
Seniors Home,139,0.0065,99.392,NB;ON,UNMAPPED -> dropped,,False
Heritage Site,136,0.0064,99.3984,BC,UNMAPPED -> dropped,,False
Low Rise Residential,136,0.0064,99.4048,BC;ON,UNMAPPED -> dropped,residential,False
Worship Centre,135,0.0063,99.4111,ON,UNMAPPED -> dropped,institutional,False
Hotel/Visitor Accommodation,134,0.0063,99.4174,AB,UNMAPPED -> dropped,commercial,False
Infrastructure,133,0.0062,99.4236,ON,UNMAPPED -> dropped,,False
Dormitory,132,0.0062,99.4298,NS;ON,UNMAPPED -> dropped,,False
Airport,132,0.0062,99.436,NT;ON,UNMAPPED -> dropped,,False
École secondaire et professionnelle,132,0.0062,99.4422,QC,UNMAPPED -> dropped,institutional,False
