type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Lieu d'interprétation,41,1,QC,0.0019,99.7735,QC,UNMAPPED -> dropped,no,,,
Health or Medical Facility,41,2,NB;ON,0.0019,99.7754,ON,UNMAPPED -> dropped,no,,,
Childcare,41,2,BC;ON,0.0019,99.7773,ON,UNMAPPED -> dropped,no,,,
Musée,40,1,QC,0.0019,99.7792,QC,UNMAPPED -> dropped,no,,,
Senior,40,1,BC,0.0019,99.7811,BC,UNMAPPED -> dropped,no,,,
Water Supply or Treatment Facility,40,2,NB;ON,0.0019,99.783,ON,UNMAPPED -> dropped,no,,,
Community/Recreation Centre,39,1,ON,0.0018,99.7848,ON,UNMAPPED -> dropped,no,,,
Granny Flat,38,1,ON,0.0018,99.7866,ON,UNMAPPED -> dropped,no,,,
Nursing and Retirement Home,38,1,ON,0.0018,99.7884,ON,UNMAPPED -> dropped,no,,,
Treatment Plant,38,1,NS,0.0018,99.7902,NS,UNMAPPED -> dropped,no,,,
Solar Facility,37,1,ON,0.0017,99.7919,ON,UNMAPPED -> dropped,no,,,
Cégep et université,36,1,QC,0.0017,99.7936,QC,UNMAPPED -> dropped,no,,,
Provincial Facility,36,2,NB;ON,0.0017,99.7953,ON,UNMAPPED -> dropped,no,,,
Fish Plant,36,1,NS,0.0017,99.797,NS,UNMAPPED -> dropped,no,,,
Funeral Home,35,3,NB;NS;ON,0.0016,99.7986,NS,UNMAPPED -> dropped,no,,,
Community Resource,35,1,ON,0.0016,99.8002,ON,UNMAPPED -> dropped,no,,,
Recycling Facility,34,2,NS;ON,0.0016,99.8018,NS,UNMAPPED -> dropped,no,,,
Independent School,34,1,BC,0.0016,99.8034,BC,UNMAPPED -> dropped,no,,,
Laboratory/Research,34,1,NS,0.0016,99.805,NS,UNMAPPED -> dropped,no,,,
